Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time
2013,Tom Kristensen,Le Mans Prototype,Audi Sport Team Joest,Audi R18 e-tron quattro,Michelin,348.0,4742.892,2947.096,FIA WEC,DEN,DEU,197.62,122.8,4.14
2013,Allan McNish,Le Mans Prototype,Audi Sport Team Joest,Audi R18 e-tron quattro,Michelin,348.0,4742.892,2947.096,FIA WEC,GBR,DEU,197.62,122.8,4.14
2014,Marcel Fässler,Le Mans Prototype,Audi Sport Team Joest,Audi R18 e-tron quattro,Michelin,379.0,5165.391,3209.625,FIA WEC,SUI,DEU,215.22,133.73,3.8
2014,André Lotterer,Le Mans Prototype,Audi Sport Team Joest,Audi R18 e-tron quattro,Michelin,379.0,5165.391,3209.625,FIA WEC,DEU,DEU,215.22,133.73,3.8
2014,Benoît Tréluyer,Le Mans Prototype,Audi Sport Team Joest,Audi R18 e-tron quattro,Michelin,379.0,5165.391,3209.625,FIA WEC,FRA,DEU,215.22,133.73,3.8
2015,Earl Bamber,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,FIA WEC,NZL,DEU,224.28,139.36,3.65
2015,Nico Hülkenberg,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,FIA WEC,DEU,DEU,224.28,139.36,3.65
2015,Nick Tandy,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,395.0,5382.82,3344.73,FIA WEC,GBR,DEU,224.28,139.36,3.65
2016,Romain Dumas,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,FIA WEC,FRA,DEU,218.06,135.5,3.75
2016,Neel Jani,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,FIA WEC,SUI,DEU,218.06,135.5,3.75
2016,Marc Lieb,Le Mans Prototype,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,FIA WEC,DEU,DEU,218.06,135.5,3.75
2017,Earl Bamber,Le Mans Prototype,Porsche LMP Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,FIA WEC,NZL,DEU,208.38,129.48,3.92
2017,Timo Bernhard,Le Mans Prototype,Porsche LMP Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,FIA WEC,DEU,DEU,208.38,129.48,3.92
2017,Brendon Hartley,Le Mans Prototype,Porsche LMP Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,FIA WEC,NZL,DEU,208.38,129.48,3.92
2018,Fernando Alonso,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,388.0,5286.888,3285.12,FIA WEC,ESP,JPN,220.29,136.88,3.71
2018,Sébastien Buemi,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,388.0,5286.888,3285.12,FIA WEC,SUI,JPN,220.29,136.88,3.71
2018,Kazuki Nakajima,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,388.0,5286.888,3285.12,FIA WEC,JPN,JPN,220.29,136.88,3.71
2019,Fernando Alonso,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,385.0,5246.01,3259.72,FIA WEC,ESP,JPN,218.58,135.82,3.74
2019,Sébastien Buemi,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,385.0,5246.01,3259.72,FIA WEC,SUI,JPN,218.58,135.82,3.74
2019,Kazuki Nakajima,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,385.0,5246.01,3259.72,FIA WEC,JPN,JPN,218.58,135.82,3.74
2020,Sébastien Buemi,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,387.0,5272.46,3276.15,FIA WEC,SUI,JPN,219.69,136.51,3.72
2020,Brendon Hartley,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,387.0,5272.46,3276.15,FIA WEC,NZL,JPN,219.69,136.51,3.72
2020,Kazuki Nakajima,Le Mans Prototype,Toyota Gazoo Racing,Toyota TS050 Hybrid,Michelin,387.0,5272.46,3276.15,FIA WEC,JPN,JPN,219.69,136.51,3.72
2021,Mike Conway,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,371.0,5054.5,3140.7,FIA WEC,GBR,JPN,210.6,130.86,3.88
2021,Kamui Kobayashi,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,371.0,5054.5,3140.7,FIA WEC,JPN,JPN,210.6,130.86,3.88
2021,José María López,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,371.0,5054.5,3140.7,FIA WEC,ARG,JPN,210.6,130.86,3.88
2022,Sébastien Buemi,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,380.0,5177.17,3217.0,FIA WEC,SUI,JPN,215.72,134.04,3.79
2022,Brendon Hartley,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,380.0,5177.17,3217.0,FIA WEC,NZL,JPN,215.72,134.04,3.79
2022,Ryō Hirakawa,Hypercar,Toyota Gazoo Racing,Toyota GR010 Hybrid,Michelin,380.0,5177.17,3217.0,FIA WEC,JPN,JPN,215.72,134.04,3.79
2023,James Calado,Hypercar,Ferrari – AF Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,FIA WEC,GBR,ITA,194.17,120.65,4.21
2023,Antonio Giovinazzi,Hypercar,Ferrari – AF Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,FIA WEC,ITA,ITA,194.17,120.65,4.21
2023,Alessandro Pier Guidi,Hypercar,Ferrari – AF Corse,Ferrari 499P,Michelin,342.0,4660.1,2895.65,FIA WEC,ITA,ITA,194.17,120.65,4.21
